,Latent Variable,,,,,,
,,,,,,,
,,,,,,,
,Latent Variable,,,,,,
,,,,,,,
,Case ID,Attitude Toward Local Brand (ATLB),Consumer Ethnocentrism (CET),Gov. Buy Local Campaign Effectiveness  (PBLCE),Local Fashion Brand Love (LFBL),Perceived Price Fairness (PPF),Perceived Product Quality (PPQ)
,1,0.12723897875177,0.869968239052235,0.398522217502637,0.79810983575769,1.04362507583873,0.150845750359565
,2,0.459846837610388,0.394250290869988,0.412925534740792,0.15034280554058,1.04362507583873,0.150845750359565
,3,0.404619538572034,0.978380676593854,0.427216465637786,0.387898288831442,1.61674651229944,0.726878765273358
,4,0.670073885522236,-1.1426309067768,0.199551580140614,-0.979862279767052,-0.865648515646289,-1.70467305084097
,5,1.00407949620117,0.394250290869988,0.485744339698982,0.683150429827309,1.04362507583873,0.150845750359565
,6,0.165391404361142,1.4540986247761,0.713442002704562,1.29952508688449,1.61674651229944,1.54461501871336
,7,-0.138535804676132,-0.160092407368654,0.412925534740792,-1.81974399527072,0.295122733075836,-1.15505354598536
,8,0.977253670668236,-2.82436902407294,0.772002654274166,-1.3012656894001,-2.74604348570284,-0.933172095485925
,9,0.421578578372648,0.182289074734903,1.04385765161119,0.172053737904564,0.600864987493511,-0.69116688461822
,10,-0.6525806623234,-0.133321103094695,-0.804860973501317,0.433253121637569,0.406568607704419,0.0609602857015802
,11,1.50658671659615,0.429348215776853,1.07251912223794,1.02133600063244,1.0610245783266,0.983240887210416
,12,-0.346682795369344,0.967392583201652,0.45708286907224,0.471746215173631,0.994040289792886,0.20913764743335
,13,0.405901456763978,0.435115643260221,0.713442002704562,0.690532043775181,1.05797532146648,0.726878765273358
,14,-0.109629921924566,0.456576710112539,1.33008318867797,0.421431171416497,0.976640787305013,0.915029519668198
,15,0.962653864402178,-0.0775619069618494,0.126699997674016,0.766998356169499,0.333228400181086,-0.173727739119712
,16,1.50658671659615,0.947188502037399,1.33008318867797,1.01637578968143,0.888950334153923,0.505633752635934
,17,-0.109629921924566,0.105068811749738,-0.159558316901167,1.01637578968143,0.755539729178314,0.413423464579399
,18,0.726882909149344,1.16491714565585,0.48577711720739,1.00427294588862,1.32866116563902,0.512950938682346
,19,-0.109629921924566,-1.12773706303418,-0.159558316901167,-1.5459218930671,-0.953338968797379,0.157885475382507
,20,0.696899711055166,0.160828007882584,0.713442002704562,0.700213484571128,0.682199521654981,0.533711136912627
,21,1.50658671659615,0.161627803508922,-0.159558316901167,0.147328175641134,0.691604697504716,-0.0835574550303279
,22,0.700057083616414,0.630778528581464,0.45708286907224,0.766998356169499,0.685248778515096,-0.123389465954354
,23,0.1688485833192,-0.134120898721033,0.126667220165608,0.159711913005685,0.397163431854684,0.368574579689482
,24,0.126141033328268,0.925727435185081,0.427183688129379,0.493176253965876,0.970284868315394,1.01251698980399
,25,-0.109629921924566,0.704093041216217,-0.159558316901167,1.0237574036293,1.24097071248793,1.2226438136561
,26,0.738325342854154,-0.0717944794784814,0.48577711720739,0.421431171416497,0.330179143320971,0.122768366082872
,27,-0.135672161895434,0.65800702291715,1.33008318867797,0.683150429827309,0.600864987493511,0.704902695816092
